line,egg_length,egg_width,egg_volume,line_type
S3,104.26,20.41,181924.9815,Starch
S3,100.86,20.09,170516.9071,Starch
S3,101.38,20.6,180208.527,Starch
S3,99.3,20.66,177540.9307,Starch
S3,98.14,20.41,171246.0932,Starch
S3,90.18,18.3,126503.0568,Starch
S3,100.4,21.66,197305.5159,Starch
S3,99.32,18.53,142848.6561,Starch
S3,103.16,20.85,187850.3728,Starch
S3,96.35,20,161435.9745,Starch
S3,98.87,20.94,181596.092,Starch
S3,101.85,20.52,179640.5415,Starch
S3,97.82,21.5,189405.7624,Starch
S3,106.37,18.65,154976.3545,Starch
S3,98.01,20.13,166359.0947,Starch
S3,101.42,19.25,157424.9932,Starch
S3,101.1,19.64,163351.3514,Starch
S3,92.66,20.33,160418.9474,Starch
S3,100.55,19.58,161471.5667,Starch
S3,100.48,20.41,175329.1976,Starch
S3,98.7,20.26,169701.0948,Starch
S3,102.88,19.72,167584.3218,Starch
S3,104.69,19.57,167948.2413,Starch
S3,99.53,18.95,149713.5271,Starch
S3,102.61,19.98,171581.0277,Starch
S3,103.69,19.22,160447.2399,Starch
S3,98.14,19.98,164106.4424,Starch
S3,104,19.54,166330.1838,Starch
