line,egg_collection_date,egg_length,egg_width,egg_volume,line_type
S1,17/02/2022,97.04,18.86,144584.8451,Starch
S1,17/02/2022,103.42,20.12,175367.4938,Starch
S1,17/02/2022,102.26,19.72,166574.3852,Starch
S1,17/02/2022,98.69,18.76,145488.0846,Starch
S1,17/02/2022,94.77,19.45,150175.3668,Starch
S1,17/02/2022,102.58,21.32,195310.5508,Starch
S1,17/02/2022,100.38,20.08,169536.5017,Starch
S2,17/02/2022,99.77,21.44,192104.7678,Starch
S2,17/02/2022,93.96,20.19,160436.8976,Starch
S2,17/02/2022,97.63,21.56,190094.4387,Starch
S2,17/02/2022,103.6,20.64,184870.5574,Starch
S2,17/02/2022,103.31,19.53,165057.5739,Starch
S2,17/02/2022,102.87,20.58,182502.1941,Starch
S2,17/02/2022,97.58,20.46,171104.2046,Starch
S2,17/02/2022,99.53,20.07,167933.5073,Starch
S2,17/02/2022,100.06,20.04,168323.4183,Starch
S2,17/02/2022,96.32,19.45,152631.543,Starch
S2,17/02/2022,100.55,20.18,171519.3049,Starch
S2,17/02/2022,98.34,20.24,168748.4644,Starch
S2,17/02/2022,94.12,21.6,183940.7827,Starch
S2,17/02/2022,99.12,20.66,177219.1042,Starch
S2,17/02/2022,98.02,20.82,177977.3589,Starch
S2,17/02/2022,100.09,20.75,180515.9165,Starch
S2,17/02/2022,101.79,20.05,171404.6018,Starch
S2,17/02/2022,96.16,20.77,173762.5003,Starch
S2,17/02/2022,101.02,19.97,168753.2335,Starch
S2,17/02/2022,101.96,20.56,180536.3495,Starch
S2,17/02/2022,102.1,20.86,186098.5373,Starch
S2,17/02/2022,103.12,20.79,186698.3554,Starch
S2,17/02/2022,100.99,19.87,167017.7835,Starch
S2,17/02/2022,103.21,19.15,158543.3184,Starch
S2,17/02/2022,102.12,19.84,168376.9937,Starch
S2,17/02/2022,94.65,20.65,169063.2991,Starch
S2,17/02/2022,98.01,20.85,178472.4219,Starch
S2,17/02/2022,100.62,20.47,176607.2823,Starch
S2,17/02/2022,98.21,20.1,166202.0726,Starch
S2,17/02/2022,100.85,20.52,177876.7659,Starch
S3,17/02/2022,97.24,20.66,173857.8056,Starch
S3,17/02/2022,98.78,20.1,167166.691,Starch
S3,17/02/2022,104.26,20.41,181924.9815,Starch
S3,17/02/2022,100.86,20.09,170516.9071,Starch
S3,17/02/2022,101.38,20.6,180208.527,Starch
S3,17/02/2022,99.3,20.66,177540.9307,Starch
S3,17/02/2022,98.14,20.41,171246.0932,Starch
S3,17/02/2022,90.18,18.3,126503.0568,Starch
S3,17/02/2022,100.4,21.66,197305.5159,Starch
S3,17/02/2022,99.32,18.53,142848.6561,Starch
S3,17/02/2022,103.16,20.85,187850.3728,Starch
S3,17/02/2022,96.35,20,161435.9745,Starch
S3,17/02/2022,98.87,20.94,181596.092,Starch
S3,17/02/2022,101.85,20.52,179640.5415,Starch
S3,17/02/2022,97.82,21.5,189405.7624,Starch
S3,17/02/2022,106.37,18.65,154976.3545,Starch
S3,17/02/2022,98.01,20.13,166359.0947,Starch
S3,17/02/2022,101.42,19.25,157424.9932,Starch
S3,17/02/2022,101.1,19.64,163351.3514,Starch
S3,17/02/2022,92.66,20.33,160418.9474,Starch
S3,17/02/2022,100.55,19.58,161471.5667,Starch
S3,17/02/2022,100.48,20.41,175329.1976,Starch
S3,17/02/2022,98.7,20.26,169701.0948,Starch
S3,17/02/2022,102.88,19.72,167584.3218,Starch
S3,17/02/2022,104.69,19.57,167948.2413,Starch
S3,17/02/2022,99.53,18.95,149713.5271,Starch
S3,17/02/2022,102.61,19.98,171581.0277,Starch
S3,17/02/2022,103.69,19.22,160447.2399,Starch
S3,17/02/2022,98.14,19.98,164106.4424,Starch
S3,17/02/2022,104,19.54,166330.1838,Starch
A1,18/02/2022,102.53,19.03,155531.0641,ASG
A1,18/02/2022,97.51,19.25,151355.8577,ASG
A1,18/02/2022,94.41,18.09,129414.739,ASG
A1,18/02/2022,101.39,18.67,148037.7134,ASG
A1,18/02/2022,100.39,18.6,145480.5559,ASG
A1,18/02/2022,97.31,17.84,129728.6151,ASG
A1,18/02/2022,101.32,19.28,157760.3458,ASG
A1,18/02/2022,98.13,19.15,150739.8104,ASG
A1,18/02/2022,101.42,18.27,141804.2706,ASG
A1,18/02/2022,101.56,18.4,144028.0058,ASG
A1,18/02/2022,98.71,18.17,136508.4753,ASG
A1,18/02/2022,95.96,19.28,149414.5557,ASG
A1,18/02/2022,101.1,18.2,140275.7311,ASG
A1,18/02/2022,98.67,18.08,135104.7412,ASG
A1,18/02/2022,100.26,18.94,150652.4708,ASG
A1,18/02/2022,105.7,19.27,164409.5444,ASG
A1,18/02/2022,104.99,19.49,167055.2864,ASG
A1,18/02/2022,98.7,16.91,118220.5505,ASG
A1,18/02/2022,101.13,19.13,155023.8637,ASG
A1,18/02/2022,92.8,18.83,137827.9274,ASG
A1,18/02/2022,103.74,19.57,166424.2101,ASG
A1,18/02/2022,99.32,18.67,145015.3436,ASG
A1,18/02/2022,97.64,19.84,160990.3022,ASG
A1,18/02/2022,101.03,19.43,159766.0741,ASG
A1,18/02/2022,99.9,18.37,141212.2621,ASG
A1,18/02/2022,94.66,17.43,120461.9485,ASG
A1,18/02/2022,97.88,19.21,151299.4327,ASG
A1,18/02/2022,95.08,18.08,130189.103,ASG
A1,18/02/2022,97.46,19.38,153328.3852,ASG
A1,18/02/2022,102.68,19.14,157564.4857,ASG
A2,18/02/2022,98.53,19.06,149934.9519,ASG
A2,18/02/2022,94.92,19.55,151963.7011,ASG
A2,18/02/2022,96.14,19.35,150783.7937,ASG
A2,18/02/2022,94.13,19.22,145654.3417,ASG
A2,18/02/2022,96.3,19.2,148702.1863,ASG
A2,18/02/2022,92.46,19.16,142178.3624,ASG
A2,18/02/2022,96.11,19.65,155446.9825,ASG
A2,18/02/2022,98.52,20.07,166229.3694,ASG
A2,18/02/2022,97.95,18.86,145940.7005,ASG
